File,SHA256
" logs/auth_events_before_rotation.txt",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
" output/results/baseline_defender.txt",c2edc80aaf262cda1247cee29ef5d60b9fb81b769dbfdaff171beb4c35f9f16c
" output/results/baseline_firewall.txt",63422460f398a5848552423d9d47be7dcfa852a2f1765d5fe2f5716726fb9a40
" output/results/baseline_network.txt",7456d86c1d31803d3ff0dd44c84b2027d824fc2560639ee1405fa847126f6aa1
" output/results/baseline_os.txt",64b06a23f07837ecb03a05c35677487e614e560dc8083458cded7e7745e8e7b0
" output/results/baseline_processes.txt",aaa9cbe848d33d0fff5588bb32abd37e459808d50a385c3c20027bdcc994a123
" output/results/ddos_sources.txt",24e5d8450835390af3d1d2515d13f7773cfca6469fd627145d6bd6ad12ce84ac
" output/results/local_load_test.txt",e267760f352fb294ac15f6002933c243ac63bb5d729f07335d45dc5846057b67
" output/results/mail_sender_counts.txt",e7fd8d985e5f9b042b92a2da6e06077815242ee5293d38bd074ad5476ab0d24e
" output/results/mail_volume.txt",2ab9646bc50ce4d3326ba3b3a2f28583d23fa2e3e7b26a54081e06d8a3a5ad96
" output/results/start_time.txt",a606f15812db639489c557607fcd752e96734672584e4a24b115f3f9437492cc
" output/results/task_ran.txt",5c17aeb440fdeece0cdabedeabfb5a377af113e5d0b92095bc5680461abb0ef0
" output/screenshots/H10_Load_and_Log_Analysis.PNG",b1add6ebd0af9713c1f48742e9049565e230fb5b6c67e1da927eeac6a5b52bfb
" output/screenshots/H10_Phishing_Offline.PNG",a877cd06c2ad7e31c15199afe1d5dfe43c47a579b0e4850614ed78fd85e2d156
" output/screenshots/H10_TLS_443.PNG",d86b8ff7438de1031542183398fc3e5e1d5695088bc4e811d759df653b8f37a9
" output/screenshots/H11_Recovery_Verification.PNG",9f2dbc2d3515d69cbe40a1dd01d315b07a7f738380209f985bca8cdaaaffd53d
" output/screenshots/H1B_WindowsVersion.PNG",e57e76342a27f67e06b19b67525dca2a820458ca36e4b49464ece802bcea63c7
" output/screenshots/H2_ToolVersions.PNG",45c8e0333a3371987bc563b21d7fda7e2a6f98fa49df3b1368f0c1c36f0b0e59
" output/screenshots/H3_Baseline_Defender_Firewall.PNG",5292e61adb0fead7cc0b7da80e0324df548f00c9cdda66230a2bfa18cdd403b1
" output/screenshots/H4_ProtectionHistory_EICAR.PNG",594b4e8dfebe28704cff8ae1e392eddb8b7ee2a65c8cc6559d480a14b0dda930
" output/screenshots/H5_Event4625.PNG",7f1971dab7255f5f3ed187150076a257c7fec23040431891905137b096fa6701
" output/screenshots/H6_Sysmon_Event1.PNG",7689fa2d3a56604cf8ddc7db6f9566aec3d455cffaab1dba731c511feeccfb23
" output/screenshots/H7_Autoruns_LAB3_Run_Demo.PNG",e886a8340609e3103c87319a12a23c130c53d2ef7bdff9f57af31696baa3711f
" output/screenshots/H8_ProcessExplorer_Python.PNG",7293a1bcd0950a0935c70bb1c44171833c66a55cb3fbd5c3aa7a20ab564188d6
" output/screenshots/H9_HTTP_Plaintext.PNG",fef4522d0ee2ee7f9f8b18702e3b0787f932f00f4d788b85956ad78f12816915
